HAA-8.GM4MMN5Y	はあ-8.GM4MMん5Y
HUII6G5S-KNND!	ふいい6G5S-KんんD!
HUIIK0GMS7G9GZ	ふいいK0GMS7G9GZ
HUI-IBU.ZU7UDE	ふい-いぶ.ず7うDえ
HUIIRUTP-UG0HN	ふいいるTP-うG0Hん
HUIINSYTSJGT5Y	ふいいんSYTSJGT5Y
HUIUBT0PUSSKYU	ふいうBT0ぷSSきゅ
HUIUDU0ZTOURIT	ふいうDう0ZとうりT
HUIUG8IMMB8G0-	ふいうG8いMMB8G0-
HUIUAMN82UNIM!	ふいうあMん82うにM!
HUIUU24.2S5805	ふいうう24.2S5805
HUIUURP.SSBDZ!	ふいううRP.SSBDZ!
HUIUEPWTBU.S9U	ふいうえPWTぶ.S9う
HUIE9-5M2JNGJ-	ふいえ9-5M2JんGJ-
HU-I!EK90GHED.	ふ-い!えK90GへD.
HUIOGAGNM!K!8-	ふいおがGんM!K!8-
HUIKIG0AR.G0M!	ふいきG0あR.G0M!
HUIGU8MMH04KE-	ふいぐ8MMH04け-
HUIGE7NMTZJ39M	ふいげ7んMTZJ39M
HUIGEBM70W.N9G	ふいげBM70W.ん9G
HUISYUE3STYUIT	ふいしゅえ3SちゅいT
HUIZEMM3KED9.0	ふいぜMM3けD9.0
HUIZE-NG8KED7!	ふいぜ-んG8けD7!
HUITEUHAYK!TU.	ふいてうはYK!つ.
HUIPUZTUDSOG9-	ふいぷZつDそG9-
HUIWA9SMNE!N9G	ふいわ9SMね!ん9G
HU-IN9DZW-GUZA	ふ-いん9DZW-ぐざ
HUINB9N0AGK-5-	ふいんB9ん0あGK-5-
HUINGW7-G4E!HN	ふいんGW7-G4え!Hん
HUINMJM2M85B.U	ふいんMJM2M85B.う
HUU-0DJUUE-WIB	ふう-0Dじゅうえ-ゐB
HU-U1.BGAPUT-Y	ふ-う1.BがぷT-Y
HUU-1.GO.WDTBT	ふう-1.ご.WDTBT
HUU-4U3-1H53!5	ふう-4う3-1H53!5
HUU-.7OUSUTDIB	ふう-.7おうすTDいB
HUU-DYU1P-TJSE	ふう-Dゆ1P-TJせ
HU-UGB8Y4D3PNG	ふ-うGB8Y4D3PんG
HU-UK3O-UWRTEE	ふ-うK3お-うWRてえ
HUU-KM5ZBROSUR	ふう-KM5ZBろすR
HUU-KS!UYPEODS	ふう-KS!うYぺおDS
HUU-M2ADRZSSYU	ふう-M2あDRZSしゅ
HUU-MKI1G!AKN0	ふう-Mき1G!あKん0
HU-U-PZUP.GBD1	ふ-う-PずP.GBD1
HUU-.RSY1GMAPT	ふう-.RSY1GまPT
HUU--RWSR3B.EE	ふう--RWSR3B.ええ
HUU-R.OTB9TJSE	ふう-R.おTB9TJせ
HUU-SBMKU1GHY-	ふう-SBMく1GHY-
HUU-SSISRYBG5Y	ふう-SしSRYBG5Y
HUUA7TNPG.TRWS	ふうあ7TんPG.TRWS
HUU-AG8.42RDKG	ふう-あG8.42RDKG
HUUAJEG9MMK6!-	ふうあJえG9MMK6!-
HUUAKMRSSYIZG!	ふうあKMRSSYいZG!
HUUAM2.OUTTYKS	ふうあM2.おうTTYKS
HUUAYUZNPBTT5Y	ふうあゆZんPBTT5Y
HUUAN2NNBKM6!-	ふうあん2んんBKM6!-
HUUIG4EGYP48D.	ふういG4えGYP48D.
HUUIM.A4KOTMUZ	ふういM.あ4こTむZ
HUUIMNGB37IN0-	ふういMんGB37いん0-
HUUIRD0MKM6EN0	ふういRD0MKM6えん0
HUUIUADI5Y-.E-	ふういうあDい5Y-.え-
HUUIE90IITGN!J	ふういえ90いいTGん!J
HUUI.E.JG.W.H1	ふうい.え.JG.W.H1
HUUIKAZ-Y2T.EG	ふういかZ-Y2T.えG
HUUU0RTWYEAUIT	ふうう0RTWYえあういT
HUUU203S3E37-!	ふうう203S3え37-!
HUUUM!INH2I!GJ	ふううM!いんH2い!GJ
HUUUP9PGSP-EJ-	ふううP9PGSP-えJ-
HUUUPMTSDRO6.M	ふううPMTSDろ6.M
HUUUWK.H.HS5NJ	ふううWK.H.HS5んJ
HUUUI47JUG9DPG	ふううい47じゅG9DPG
HUUUOB8-TPDMUZ	ふううおB8-TPDむZ
HUUU!OATUMODY-	ふうう!おあつもDY-
HUU-USYOKPM5BU	ふう-うしょKPM5ぶ
HUUUPII4OS.GT-	ふううぴい4おS.GT-
HUUUN3D4UIW2KG	ふううん3D4ういW2KG
HUU-EDTOY5W.BU	ふう-えDとY5W.ぶ
HUUEHWUM--9RGA	ふうえHWうM--9Rが
HUU-ERJ7AUSTTY	ふう-えRJ7あうSTTY
HUU-E-TYS8RERA	ふう-え-TYS8れら
HUUEN7U1DKDR9U	ふうえん7う1DKDR9う
HUUENJJ.H3W-UZ	ふうえんJJ.H3W-うZ
HUUENTKP1HTNY-	ふうえんTKP1HTんY-
HUUO0234.S7G!5	ふうお0234.S7G!5
HUUO204.0E345-	ふうお204.0え345-
HUUOMGTPYI5SYU	ふうおMGTPYい5しゅ
HUUOMUYS.PBD5-	ふうおむYS.PBD5-
HUUONHS8I.K.GZ	ふうおんHS8い.K.GZ
HUUKAB!N7MPNN0	ふうかB!ん7MPんん0
HUUKEGPGW394D.	ふうけGPGW394D.
HUUKENIJM75K5-	ふうけにJM75K5-
HUUZAKMJ90BMG!	ふうざKMJ90BMG!
HUUJUWTSPGPWG!	ふうじゅWTSPGPWG!
HUUTASE2--JYUR	ふうたせ2--じゅR
HUUTHA!RGW-SUR	ふうてゃ!RGW-すR
HUU-TO8PGDZTEY	ふう-と8PGDZてY
HUUNITI4KM6EN0	ふうにち4KM6えん0
HUUNUWBNPST3WT	ふうぬWBんPST3WT
HUUNEDPD03D9YU	ふうねDPD03D9ゆ
HUUPASSKZRUD!-	ふうぱSSKZるD!-
HUUPAU1KTNTZTY	ふうぱう1KTんTZTY
HUUHIMK-6GGG7!	ふうひMK-6GGG7!
HUUHE4NYDUD49S	ふうへ4んYDうD49S
HUUBENPWRTYU5Z	ふうべんPWRちゅ5Z
HUUBOUK.B-ZT2U	ふうぼうK.B-ZT2う
HUUPOU.GIDHM!-	ふうぽう.ぎDHM!-
HUU-BOUTES7KYU	ふう-ぼうてS7きゅ
HUUMATD.4D83YG	ふうまTD.4D83YG
HUUMAURD7G93YG	ふうまうRD7G93YG
HUUMUIS3ATRSY-	ふうむいS3あTRSY-
HUUME8IJY!9EEM	ふうめ8いJY!9ええM
HUUMOTST4SANYY	ふうもTST4さんYY
HUUYAUTSBPN7U-	ふうやうTSBPん7う-
HUUYUIUPS4BZE-	ふうゆいうPS4Bぜ-
HUUYUZAUM-2RSB	ふうゆざうM-2RSB
HUURUTHTEI3WU-	ふうるTHてい3Wう-
HUU-RETOKN-3OT	ふう-れとKん-3おT
HUURON5K.TEWPT	ふうろん5K.てWPT
HUUN93.DDA4ITU	ふうん93.DDあ4いつ
HUUN95HEKBM0K-	ふうん95へKBM0K-
HUUN-BDN66M5KM	ふうん-BDん66M5KM
HUUNBTKMM73HN0	ふうんBTKMM73Hん0
HUU-NBTA.RM.7A	ふう-んBた.RM.7あ
HUUND-A4R89GBU	ふうんD-あ4R89Gぶ
HUUNGKP-1A.IT-	ふうんGKP-1あ.いT-
HUUNGRB9TD48ON	ふうんGRB9TD48おん
HUUNKRA42N.4BU	ふうんKら42ん.4ぶ
HUUNM4HK1EZM9M	ふうんM4HK1えZM9M
HUUNRWSB-9SOTG	ふうんRWSB-9そTG
HUUNSBKRSZ2STY	ふうんSBKRSZ2STY
HUUNT2EROKTZYS	ふうんT2えろKTZYS
HU-UNWYMHUD2ES	ふ-うんWYMふD2えS
HU-E2KN6J!.MDE	ふ-え2Kん6J!.MDえ
HU--E4BRG.OWSU	ふ--え4BRG.おWす
HU-E4MRTBT4AM!	ふ-え4MRTBT4あM!
HUE-G8MAJD!0K-	ふえ-G8まJD!0K-
HUE-KMNN71D0KS	ふえ-KMんん71D0KS
HUE-M3NA-!JI9G	ふえ-M3な-!じ9G
HUE-!R5INH3NKM	ふえ-!R5いんH3んKM
HUE-RWS.PK3STG	ふえ-RWS.PK3STG
HU-ESDMJAT3.Y-	ふ-えSDMじゃT3.Y-
HUE--TSR3AYGYS	ふえ--TSR3あYGYS
HU--EYIRG1WSNG	ふ--えYいRG1WSんG
HUE-ZN3KSETYYB	ふえ-Zん3KせTYYB
HUE-ZN3KUSITYB	ふえ-Zん3くしTYB
HUEA7.MN-G79KE	ふえあ7.Mん-G79け
HUEA8G-HMUR-TY	ふえあ8G-HむR-TY
HUE-AJMZ4GM98M	ふえ-あJMZ4GM98M
HUEAKP70NU!NKM	ふえあKP70ぬ!んKM
HUEAR.JZN3J.-Z	ふえあR.JZん3J.-Z
HUEARM4IKM0N.0	ふえあRM4いKM0ん.0
HUEI0GB0YMRN8M	ふえい0GB0YMRん8M
HUEI.B0N7KU!NB	ふえい.B0ん7く!んB
HUEIA93-0G-NKM	ふえいあ93-0G-んKM
HUEIUNJWTT.3IT	ふえいうんJWTT.3いT
HUEUH8!NM0BDK-	ふえうH8!んM0BDK-
HUE-UJMDYA0STY	ふえ-うJMDや0STY
HUEUP9GAG4Y9YG	ふえうP9がG4Y9YG
HUEUA8TNTYOTTY	ふえうあ8TんちょTTY
HUEUO!RW-KSRSG	ふえうお!RW-KSRSG
HUEUOZDZUI4TTY	ふえうおZDずい4TTY
HUEE!Z04656M0-	ふええ!Z04656M0-
HU-EEI2NJ9DN!Z	ふ-ええい2んJ9Dん!Z
HUEKI..9ZU-ZBB	ふえき..9ず-ZBB
HUEKUMWUW.2SKE	ふえくMWうW.2Sけ
HUEZASRSG-RR9-	ふえざSRSG-RR9-
HUEJUK0MG-HD7!	ふえじゅK0MG-HD7!
HUE-TEINMWZ2ZZ	ふえ-ていんMWZ2ZZ
HUEHEKY8G4MM!Z	ふえへKY8G4MM!Z
HUEMI40NIZD3N-	ふえみ40にZD3ん-
HUEYUAP4TS-T.J	ふえゆあP4TS-T.J
HUEN639N!0!.P1	ふえん639ん!0!.P1
HUEN8RMDYJD3G!	ふえん8RMDYJD3G!
HUE-NH.7G1D!KM	ふえ-んH.7G1D!KM
HUE-NJ!K9KSE7E	ふえ-んJ!K9Kせ7え
HUO---.GD3PPSG	ふお---.GD3PPSG
HUO-GJRT!GSRWS	ふお-GJRT!GSRWS
HU-OM7DUAUUSTY	ふ-おM7DうあううSTY
HUO-MS4BUUWYSG	ふお-MS4ぶうWYSG
HU-ORNO2.S-DTG	ふ-おRの2.S-DTG
HUO-SPUZMD0KKG	ふお-SぷZMD0KKG
HU-OTGZI1URGTY	ふ-おTGじ1うRGTY
HU-OTY3SIBTGU.	ふ-おTY3しBTぐ.
HUOIMT3RSWG-UU	ふおいMT3RSWG-うう
HU-OINDNGIN7!5	ふ-おいんDんぎん7!5
HUOU5TWREUYB.M	ふおう5TWれうYB.M
HUOU9T57305U9E	ふおう9T57305う9え
HUOU.G7D9DG9BU	ふおう.G7D9DG9ぶ
HUOUMP4HP-TGU.	ふおうMP4HP-Tぐ.
HUO-!USPNRKPSG	ふお-!うSPんRKPSG
HUOUYH--U4DTES	ふおうYH--う4DてS
HUOE4M.HZTRGK-	ふおえ4M.HZTRGK-
HUOEM-RWRU.4ES	ふおえM-RWる.4えS
HUOES4SDRY-UMZ	ふおえS4SDRY-うMZ
HUOEURU-EI7TYU	ふおえうる-えい7ちゅ
HUOOR!T.N-BDSU	ふおおR!T.ん-BDす
HUOOTD-5MZUGRY	ふおおTD-5MずGRY
HUOO.YIUET!RTG	ふおお.YいうえT!RTG
HUOONRT8-DTEU-	ふおおんRT8-Dてう-
HUO-KUURBZTE5Y	ふお-くうRBZて5Y
HUOTU-SBDRD.0Z	ふおつ-SBDRD.0Z
HUONUZ9TN.NOHJ	ふおぬZ9Tん.のHJ
HUONES7IDG--.R	ふおねS7いDG--.R
HUOBU9GZTWURE-	ふおぶ9GZTWうれ-
HUOBUMSTGZR9SY	ふおぶMSTGZR9SY
HU-OHENUDGY!WT	ふ-おへぬDGY!WT
HUOMUU8KTTPHTU	ふおむう8KTTPHつ
HUORUTPNR0.EIT	ふおるTPんR0.えいT
HUONM9BMN.59MA	ふおんM9BMん.59ま
HUONPTR.UEDO-!	ふおんPTR.うえDお-!
HUONYZNOU3MZNJ	ふおんYZのう3MZんJ
HUONTERSE4YZTY	ふおんてRせ4YZTY
HUKAIG9N!P0NE-	ふかいG9ん!P0ね-
HUKAMEK0YE!N5Y	ふかめK0Yえ!ん5Y
HUKIKE!Z5BN9GZ	ふきけ!Z5Bん9GZ
HUGIJIS59EYNM!	ふぎじS59えYんM!
HUGYUK7SOTTSKS	ふぎゅK7そTTSKS
HUKYUSTBUSWOG!	ふきゅSTぶSをG!
HUGYOGU9D45YKE	ふぎょぐ9D45Yけ
HU-GUD2KP38RNG	ふ-ぐD2KP38RんG
HUGUI83TKU9DPG	ふぐい83Tく9DPG
HU-GUISWRSB9SU	ふ-ぐいSWRSB9す
HUKUIIE!G0I3N-	ふくいいえ!G0い3ん-
HUKUEU9KY32REG	ふくえう9KY32れG
HU-KE.MW.GJSW2	ふ-け.MW.GJSW2
HUKEI!N.M87EBU	ふけい!ん.M87えぶ
HUKEEB.JJR!0M!	ふけえB.JJR!0M!
HUGEERK9JM0H-!	ふげえRK9JM0H-!
HUKEZI9RGM0HG!	ふけじ9RGM0HG!
HUKENB6KGMZ59-	ふけんB6KGMZ59-
HUGO-3MPKUIMUZ	ふご-3MPくいむZ
HUGOED5TURZWY-	ふごえD5つRZWY-
HUGOTIG-W-1K.G	ふごちG-W-1K.G
HUJI-GZI!D5!GJ	ふじ-Gじ!D5!GJ
HUSIUDD-9ATNZZ	ふしうDD-9あTんZZ
HUSIU.EMYPPM8G	ふしう.えMYPPM8G
HUSIUSOKIR!TUU	ふしうそきR!つう
HU-JIE98MGUAM!	ふ-じえ98MぐあM!
HUSIGUB.3D9D9U	ふしぐB.3D9D9う
HUJIJI-55GM!YG	ふじじ-55GM!YG
HUJANKEG!WM!9S	ふじゃんけG!WM!9S
HUSYUGWBDPT.S0	ふしゅGWBDPT.S0
HUJUPKWY5UTTES	ふじゅPKWY5うTてS
HUJUPNM2MI9EN0	ふじゅPんM2み9えん0
HUJURWTI8UTTES	ふじゅRWち8うTてS
HUSHUY5RTTJRE-	ふしゅY5RTTJれ-
HUSYUA5TGMPWYU	ふしゅあ5TGMPWゆ
HUJOGZ-.N6A.YG	ふじょGZ-.ん6あ.YG
HUJOT9UEWSMRTU	ふじょT9うえWSMRつ
HUJOZ8G-.KJ.SE	ふじょZ8G-.KJ.せ
HUJOGUUKM244YG	ふじょぐうKM244YG
HU-ZUK2EOD-SUR	ふ-ずK2えおD-すR
HUSUABS-RUIU9-	ふすあBS-るいう9-
HUZUI9TTPEUOYG	ふずい9TTぺうおYG
HUSUU.IBMYA!EY	ふすう.いBみゃ!えY
HUSUO0D5!3!39S	ふすお0D5!3!39S
HUSEI9KMI0YN5G	ふせい9Kみ0Yん5G
HUZEITW4SDUYSU	ふぜいTW4SDうYす
HUSEOS.D-Y4-RE	ふせおS.D-Y4-れ
HUSERI5UYSITYU	ふせり5うYしちゅ
HU-SOT4EZYRNBU	ふ-そT4えZYRんぶ
HUSOUTRR-H9-EG	ふそうTRR-H9-えG
HUSOEUZYMR-D2U	ふそえうZYMR-D2う
HUSOGUPRPD.ZM!	ふそぐPRPD.ZM!
HUSON34RRMGK9G	ふそん34RRMGK9G
HUTAI.USSPYG4-	ふたい.うSSPYG4-
HUTAUPURPDN-0Z	ふたうぷRPDん-0Z
HUTANU9RA.TPS-	ふたぬ9ら.TPS-
HUTANJRM3TW.E-	ふたんJRM3TW.え-
HUTIUMHPJTR5N.	ふちうMHPJTR5ん.
HUTIEKM6GT8KN0	ふちえKM6GT8Kん0
HUTIEKM8UI5KN0	ふちえKM8うい5Kん0
HUTIE-RYNSARN0	ふちえ-RYんさRん0
HU-TURSK8SEWDS	ふ-つRSK8せWDS
HUTU-U6.ORBGIT	ふつ-う6.おRBぎT
HUTUUWIP.KS5BU	ふつうゐP.KS5ぶ
HUTUOO-9BMUJTU	ふつおお-9BむJつ
HU-TUPAP9UGZYE	ふ-つぱP9うGZYえ
HU-TEDDOPO.U.!	ふ-てDDおぽ.う.!
HU-TEKDON1.SK-	ふ-てKDおん1.SK-
HUTEUH28N0KMKM	ふてうH28ん0KMKM
HUTEUMO!HBNYYU	ふてうも!HBんYゆ
HUTENMHG9IJ4!Z	ふてんMHG9いJ4!Z
HUTO-R6TR.NBSG	ふと-R6TR.んBSG
HUTOE-7YPGUJTU	ふとえ-7YPぐJつ
HUTOE-7YPEGUYU	ふとえ-7Yぺぐゆ
HUTOTEUWSKY.2G	ふとてうWSKY.2G
HUNAUOKTRZEM9-	ふなうおKTRぜM9-
HUNIIZ4N!J5-BG	ふにいZ4ん!J5-BG
HUNIUU-G7HPTYE	ふにうう-G7HPちぇ
HUNISUOTMK4HU-	ふにすおTMK4ふ-
HUNIN!BGI0N3WT	ふにん!Bぎ0ん3WT
HUNINM1UIWG59M	ふにんM1ういWG59M
HUNIN-IK535SKM	ふにん-いK535SKM
HUNUSOWNYJJSN0	ふぬそWんYJJSん0
HUNURAWKSTPU5-	ふぬらWKSTぷ5-
HUNEUGI7W7JMG!	ふねうぎ7W7JMG!
HUNOEGRAT-7Y.M	ふのえGらT-7Y.M
HU-BAR0URWSMUU	ふ-ばR0うRWSむう
HUHAKUTRTR5-UZ	ふはくTRTR5-うZ
HUPAN-S0TPURD.	ふぱん-S0TぷRD.
HUPIU-NUP1RTGZ	ふぴう-ぬP1RTGZ
HUBIME6NMG4.8-	ふびめ6んMG4.8-
HU-PUHPMEUR5YU	ふ-ぷHPめうR5ゆ
HUBUUTJZ--O4PG	ふぶうTJZ--お4PG
HUBUUYS-7YOETG	ふぶうYS-7よえTG
HUPUEJY4SZT-BU	ふぷえJY4SZT-ぶ
HUPUEU2TIZ.RYE	ふぷえう2ちZ.RYえ
HUPUOG8PTPNTN-	ふぷおG8PTPんTん-
HUPUON-KESKWG!	ふぷおん-けSKWG!
HUBUTUN.TO6DWT	ふぶつん.と6DWT
HUPEI9N5DMIN.0	ふぺい9ん5Dみん.0
HUPEUEIYKNR-S0	ふぺうえいYKんR-S0
HUHENA4MNM4Z9-	ふへな4MんM4Z9-
HUPEROT.-A9MUU	ふぺろT.-あ9むう
HUBEND45.RJR9U	ふべんD45.RJR9う
HUHENMN8T!KD6T	ふへんMん8T!KD6T
HUPOUTGRYEMS0Y	ふぽうTGRYえMS0Y
HUPOEYGTUT1N-Y	ふぽえYGつT1ん-Y
HUBOZED0TUU-RY	ふぼぜD0つう-RY
HUHOME47TNNN9M	ふほめ47Tんんん9M
HUPON4M-RGS.PS	ふぽん4M-RGS.PS
HUMI-48G5MZIJG	ふみ-48G5MじJG
HUMIUBUG6I!N!J	ふみうぶG6い!ん!J
HUMINGIZ75JUD!	ふみんぎZ75じゅD!
HUMUIMN20J7GKS	ふむいMん20J7GKS
HUMUWOSDGWS9TU	ふむをSDGWS9つ
HUMO-ZUPRDB0UU	ふも-ずPRDB0うう
HUYA-D4UJ24NUG	ふや-D4うJ24ぬG
HUYAUTA!SGYTSY	ふやうた!SGYTSY
HUYANBHMMU!8G!	ふやんBHMむ!8G!
HU-YUJ.SH5JUHN	ふ-ゆJ.SH5じゅHん
HUYO-5DEUWURE-	ふよ-5DえうWうれ-
HUYOU4NT-BSMHN	ふよう4んT-BSMHん
HUYOU-RSPT3NEM	ふよう-RSPT3ねM
HUYOTU1MSPGKU-	ふよつ1MSPGく-
HURAZANDT-GY0-	ふらざんDT-GY0-
HURINPSAZUUTR!	ふりんPさずうTR!
HU-RU.DT1ODZE-	ふ-る.DT1おDぜ-
HURU-.DED184KG	ふる-.DえD184KG
HURU--M.OGTDO1	ふる--M.おGTDお1
HURU-PJERUE-6T	ふる-PJえるえ-6T
HURUURRSM6A-E-	ふるうRRSM6あ-え-
HURUUWUHASMTR!	ふるうWうはSMTR!
HURUOGB-M7-NON	ふるおGB-M7-のん
HURUGO2R4JNND!	ふるご2R4JんんD!
HURU-KOA3TTNS-	ふる-こあ3TTんS-
HURUWAB.EU2-U-	ふるわB.えう2-う-
HUREME6K0.M9KE	ふれめ6K0.M9け
HUROUT3JM-UTHT	ふろうT3JM-うTHT
HUWEO3RMU-.PTG	ふゑお3Rむ-.PTG
HUN-0BNIRDI5N0	ふん-0BにRDい5ん0
HUN-0GI72DN-JE	ふん-0ぎ72Dん-Jえ
HUN-0GI72KNISG	ふん-0ぎ72KにSG
HUN-9.I!DENM1A	ふん-9.い!DえんM1あ
HUN-HB87NR!GEM	ふん-HB87んR!げM
HU-NM.-.DZYBA1	ふ-んM.-.DZYば1
HUN-PB1YKZT.EG	ふん-PB1YKZT.えG
HUN-ZNUR8JZOAN	ふん-ZぬR8Jぞあん
HUN-O7!5MJBKNG	ふん-お7!5MJBKんG
HUNGA-5KEK6!K-	ふんが-5けK6!K-
HUNKUGR45OR9KE	ふんくGR45おR9け
HUNKOU4M-EA-YS	ふんこう4M-えあ-YS
HUNNIB7NN2B.T0	ふんにB7んん2B.T0
HUNNIJ5!!OMPKG	ふんにJ5!!おMPKG
HUNNU!JBAI5!K-	ふんぬ!Jばい5!K-
HUNNEP089-9051	ふんねP089-9051
HUNNOODS.T2TTY	ふんのおDS.T2TTY
HUNBA5Y!N7YNEM	ふんば5Y!ん7YねM
HUNBIN97GZZ4EM	ふんびん97GZZ4えM
HUNBUJ4GY49PSG	ふんぶJ4GY49PSG
HUNHUZ8EYSKZUJ	ふんふZ8えYSKずJ
HUNPE!E0JKKDZ!	ふんぺ!え0JKKDZ!
HUNPOREP-U!P.G	ふんぽれP-う!P.G
HUNMIIH35MU!YG	ふんみいH35む!YG
HUNMIZA57NTK9G	ふんみざ57んTK9G
HUNRUR8NT2D1KG	ふんるR8んT2D1KG
HUNNBBA03.YMM!	ふんんBば03.YMM!
HUNN-D6!0KEIPG	ふんん-D6!0けいPG
HUNNP77E3KGMMZ	ふんんP77え3KGMMZ
HUNNS5K6ITMI9G	ふんんS5K6いTみ9G
HUNNYNM!.!BA2A	ふんんYんM!.!ば2あ
HUNNZDTS2PSRYS	ふんんZDTS2PSRYS
HUNNSOY5MBBR.-	ふんんそY5MBBR.-
HE--!DGJJP!N8E	へ--!DGJJP!ん8え
HE--YMWEZMO0SG	へ--YMゑZも0SG
HEA-0Z-GMRITZZ	へあ-0Z-GMりTZZ
HE-A2M!Y9EN.JG	へ-あ2M!Y9えん.JG
HEA-4!N-GANJ9-	へあ-4!ん-がんJ9-
HEA-9IMRRN5NN0	へあ-9いMRRん5んん0
HE-AGT6K8MYNG!	へ-あGT6K8MYんG!
HE-AGT9BYIS.U.	へ-あGT9BYいS.う.
HE-AZKT0MZZGWT	へ-あZKT0MZZGWT
HEAUK0!D0YNB.M	へあうK0!D0YんB.M
HEAEGT9!NWKYN0	へあえGT9!んWKYん0
HEAEKY8.GJ!TM!	へあえKY8.GJ!TM!
HEAEEGY!NK8Y!-	へあええGY!んK8Y!-
HEAKU!UH.R-ITU	へあく!うH.R-いつ
HEAME74!JNUK.-	へあめ74!JぬK.-
HE-AME-YZZ3TMZ	へ-あめ-YZZ3TMZ
HEAWEN!8ND9MU-	へあゑん!8んD9む-
HEAN0D!NYIB!U.	へあん0D!んYいB!う.
HEAN19Z!.MDDM.	へあん19Z!.MDDM.
HEANDI-G8!U0K-	へあんDい-G8!う0K-
HEANM9M9UM8SKS	へあんM9M9うM8SKS
HEANMM93MURI.0	へあんMM93むり.0
HEANR73NEMM9.-	へあんR73ねMM9.-
HE-I02HNNGGT9Y	へ-い02HんんGGT9Y
HE-I4G-OMZZE-Z	へ-い4G-おMZぜ-Z
HEI-7GPN04NI.G	へい-7GPん04に.G
HE-IBZMNSZUW5-	へ-いBZMんSずW5-
HE-IBZTTGJ-0ZZ	へ-いBZTTGJ-0ZZ
HE-IDN4-TJ00JG	へ-いDん4-TJ00JG
HE-IG.!HD1.MN4	へ-いG.!HD1.Mん4
HEI-GSZNJD97G!	へい-GSZんJD97G!
HE-IGN8D5D0MZY	へ-いGん8D5D0MZY
HE-I-H-5ETH-U.	へ-い-H-5えTH-う.
HE-IZS9KGI9N5G	へ-いZS9Kぎ9ん5G
HEIA9M3Z.TMN9G	へいあ9M3Z.TMん9G
HEII0URDGN.6M!	へいい0うRDGん.6M!
HEII4GZBN.NU7!	へいい4GZBん.ぬ7!
HEII8Z7NG!GDU-	へいい8Z7んG!GDう-
HEIIG9.Y5K5GMZ	へいいG9.Y5K5GMZ
HEIITNY03EYNG!	へいいTんY03えYんG!
HEIIZK!GN2U9GZ	へいいZK!Gん2う9GZ
HEIIN8.UWG2GM!	へいいん8.うWG2GM!
HEI-U1NIG0NYD!	へい-う1にG0んYD!
HEIU329U02N.05	へいう329う02ん.05
HEIU8D2GRGR.9U	へいう8D2GRGR.9う
HEIU8KDN8--5EM	へいう8KDん8--5えM
HEIUMUJG9!T7HN	へいうむJG9!T7Hん
HEIEKK.0YG!E5Y	へいえKK.0YG!え5Y
HE-IETNI84NU8M	へ-いえTに84ぬ8M
HEIEYKN!JU!E5Y	へいえYKん!じゅ!え5Y
HE-IEZD-W!.ZES	へ-いえZD-W!.ぜS
HEIEIZ.9GGK59-	へいえいZ.9GGK59-
HEIOGZTR!URJM.	へいおGZTR!うRJM.
HEI-GI9GS.0I9G	へい-ぎ9GS.0い9G
HE-IGI.UN76DG!	へ-いぎ.うん76DG!
HEIKUUWN5M9E8M	へいくうWん5M9え8M
HEINEKGJ!99SS-	へいねKGJ!99SS-
HEINESM099DJU-	へいねSM099Dじゅ-
HEINEI4!PNZ.9G	へいねい4!PんZ.9G
HE-INO9M5NMR8G	へ-いの9M5んMR8G
HEIYU6JNHU.SU.	へいゆ6Jんふ.す.
HEIN2D0!NIGYUZ	へいん2D0!にぎゅZ
HEIN4.NE8MH4T-	へいん4.ね8MH4T-
HEIN9KSG1-!KGZ	へいん9KSG1-!KGZ
HEINGZTPM8G98M	へいんGZTPM8G98M
HEIN.HM45TK3M.	へいん.HM45TK3M.
HEINY3T!G3NIMZ	へいんY3T!G3にMZ
HEIN..I!59BKSG	へいん..い!59BKSG
HEINKE69G4TZN-	へいんけ69G4TZん-
HEU-96GM9TBNHN	へう-96GM9TBんHん
HEU-BTKUR5.WHN	へう-BTくR5.WHん
HE-UHK9KH5TNG!	へ-うHK9KH5TんG!
HE-UJKKG0I8T5M	へ-うJKKG0い8T5M
HEU-RYSDN1INS-	へう-RYSDん1いんS-
HEU-T-IKE8ORNU	へう-T-いけ8おRぬ
HEUA4NWNNDH!!-	へうあ4んWんんDH!!-
HEUASPTRNU9YS-	へうあSPTRぬ9YS-
HEUI08EM9MYED.	へうい08えM9MYえD.
HEUI77GNTGJK!Z	へうい77GんTGJK!Z
HEUI7ZM4G8GI.M	へうい7ZM4G8ぎ.M
HEUIGBK5M9.I.0	へういGBK5M9.い.0
HEUIK2GM7!SN.J	へういK2GM7!Sん.J
HEUIPSURZR4.E-	へういPすRZR4.え-
HEUISGKMD6!8M.	へういSGKMD6!8M.
HEUIE0B9RNJ!N-	へういえ0B9RんJ!ん-
HEUIEE9MW9M8NU	へういええ9MW9M8ぬ
HEUIKEMJN!4Z5Y	へういけMJん!4Z5Y
HEUIWOT-.EM0MZ	へういをT-.えM0MZ
HEUU3T3825!Z5Y	へうう3T3825!Z5Y
HEUU.BZPJTRT5Y	へうう.BZPJTRT5Y
HEUUH6YBTURUT-	へううH6YBつるT-
HEUUK!BNNH7M5Y	へううK!BんんH7M5Y
HEUUTZKWUAWND!	へううTZKWうあWんD!
HEUE2BKNZ9MN8-	へうえ2BKんZ9Mん8-
HEUE-TMTZ-W6HN	へうえ-TMTZ-W6Hん
